Manufacturing year,Price,Dealer location,URL
2022,"€42,694",Dublin,/used-cars/toyota/landcruiser/fpa/202209220002931?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€39,411",Galway,/used-cars/audi/a3/fpa/202208259134939?journey=Search
2022,"€38,999",Dublin,/used-cars/audi/a3/fpa/202208269159422?journey=Search
2022,"€38,950",Sligo,/used-cars/audi/a3/fpa/202208038429368?journey=Search
2022,"€38,657",Dublin,/used-cars/audi/a3/fpa/202204285120070?journey=Search
2022,"€38,541",Westmeath,/used-cars/audi/a3/fpa/202205246047891?journey=Search
2022,"€38,500",Limerick,/used-cars/audi/a3/fpa/202207207964966?journey=Search
2022,"€38,482",Galway,/used-cars/audi/a3/fpa/202205266183758?journey=Search
2022,"€38,359",Sligo,/used-cars/audi/a3/fpa/202208038418101?journey=Search
2022,"€37,995",Cork,/used-cars/audi/a3/fpa/202209089578810?journey=Search
2022,"€37,875",Wexford,/used-cars/audi/a3/fpa/202207027387067?journey=Search
2019,"€25,490",Limerick,/used-cars/nissan/qashqai/fpa/202208178885394?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€30,900",Galway,/used-cars/audi/a3/fpa/202207057486147?journey=Search
2019,"€30,000",Louth,/used-cars/audi/a3/fpa/202207087608051?journey=Search
2019,"€29,999",Dublin,/used-cars/audi/a3/fpa/202205276234614?journey=Search
2019,"€29,950",Westmeath,/used-cars/audi/a3/fpa/202207278192152?journey=Search
2019,"€29,950",Westmeath,/used-cars/audi/a3/fpa/202205165752293?journey=Search
2019,"€29,950",Kildare,/used-cars/audi/a3/fpa/202203233855306?journey=Search
2019,"€29,950",Kerry,/used-cars/audi/a3/fpa/202207268166813?journey=Search
2019,"€29,900",Dublin,/used-cars/audi/a3/fpa/202208108639930?journey=Search
2019,"€29,450",Donegal,/used-cars/audi/a3/fpa/202209109627886?journey=Search
2019,"€29,000",Louth,/used-cars/audi/a3/fpa/202207047457669?journey=Search
2019,"€22,950",Cork,/used-cars/seat/leon/fpa/202206227033317?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€41,155",Dublin,/used-cars/audi/a3/fpa/202207268155253?journey=Search
2022,"€40,995",Galway,/used-cars/audi/a3/fpa/202203093358718?journey=Search
2022,"€40,995",Cork,/used-cars/audi/a3/fpa/202209089578806?journey=Search
2022,"€40,956",Mayo,/used-cars/audi/a3/fpa/202206076539712?journey=Search
2022,"€40,659",Galway,/used-cars/audi/a3/fpa/202205266183754?journey=Search
2022,"€40,495",Sligo,/used-cars/audi/a3/fpa/202208038429370?journey=Search
2022,"€40,375",Wexford,/used-cars/audi/a3/fpa/202208269149362?journey=Search
2022,"€40,275",Wexford,/used-cars/audi/a3/fpa/202205236007926?journey=Search
2022,"€40,124",Dublin,/used-cars/audi/a3/fpa/202204275103137?journey=Search
2022,"€40,046",Dublin,/used-cars/audi/a3/fpa/202207278203821?journey=Search
2023,"€94,895",Wexford,/used-cars/mercedes-benz/eqc/fpa/202209039412710?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€36,661",Dublin,/used-cars/audi/a3/fpa/202209270146668?journey=Search
2022,"€36,500",Dublin,/used-cars/audi/a3/fpa/202209260131867?journey=Search
2022,"€36,250",Dublin,/used-cars/audi/a3/fpa/202209270146666?journey=Search
2022,"€36,000",Louth,/used-cars/audi/a3/fpa/202210030346849?journey=Search
2022,"€36,000",Limerick,/used-cars/audi/a3/fpa/202210130685062?journey=Search
2022,"€36,000",Dublin,/used-cars/audi/a3/fpa/202209270146670?journey=Search
2022,"€36,000",Dublin,/used-cars/audi/a3/fpa/202209260131857?journey=Search
2022,"€35,999",Dublin,/used-cars/audi/a3/fpa/202210070508131?journey=Search
2022,"€35,999",Dublin,/used-cars/audi/a3/fpa/202210070508130?journey=Search
2022,"€35,999",Dublin,/used-cars/audi/a3/fpa/202208269159411?journey=Search
2021,"€86,950",Kildare,/used-cars/audi/a8/fpa/202107124917788?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2020,"€36,950",Dublin,/used-cars/audi/a3/fpa/202210130692499?journey=Search
2020,"€33,950",Sligo,/used-cars/audi/a3/fpa/202210060471963?journey=Search
2020,"€32,950",Mayo,/used-cars/audi/a3/fpa/202207127706749?journey=Search
2020,"€31,950",Waterford,/used-cars/audi/a3/fpa/202208208965931?journey=Search
2020,"€31,950",Waterford,/used-cars/audi/a3/fpa/202204305212192?journey=Search
2020,"€31,945",Galway,/used-cars/audi/a3/fpa/202208309269068?journey=Search
2020,"€30,900",Cork,/used-cars/audi/a3/fpa/202208239065749?journey=Search
2020,"€30,895",Dublin,/used-cars/audi/a3/fpa/202207087607898?journey=Search
2020,"€28,999",Dublin,/used-cars/audi/a3/fpa/202207127716590?journey=Search
2020,"€28,975",Wexford,/used-cars/audi/a3/fpa/202209169829136?journey=Search
2022,"€53,400",Dublin,/used-cars/volkswagen/tiguan/fpa/202207218012148?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2021,"€34,900",Galway,/used-cars/audi/a3/fpa/202208068540969?journey=Search
2020,"€34,995",Cork,/used-cars/audi/a3/fpa/202209290248691?journey=Search
2020,"€32,000",Limerick,/used-cars/audi/a3/fpa/202207017361122?journey=Search
2020,"€31,950",Longford,/used-cars/audi/a3/fpa/202209240071949?journey=Search
2020,"€30,950",Mayo,/used-cars/audi/a3/fpa/202210120649203?journey=Search
2020,"€30,950",Sligo,/used-cars/audi/a3/fpa/202209149756483?journey=Search
2020,"€29,950",Mayo,/used-cars/audi/a3/fpa/202207087596814?journey=Search
2020,"€28,950",Limerick,/used-cars/audi/a3/fpa/202207207963942?journey=Search
2020,"€28,850",Dublin,/used-cars/audi/a3/fpa/202207207954434?journey=Search
2020,"€36,995",Dublin,/used-cars/audi/a3/fpa/202207238068260?journey=Search
2023,"€52,775",Galway,/used-cars/audi/q3/fpa/202210180834224?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€34,499",Dublin,/used-cars/audi/a3/fpa/202209029359657?journey=Search
2022,"€34,499",Dublin,/used-cars/audi/a3/fpa/202209029359653?journey=Search
2022,"€34,499",Dublin,/used-cars/audi/a3/fpa/202209029359661?journey=Search
2022,"€33,750",Dublin,/used-cars/audi/a3/fpa/202209260131850?journey=Search
2022,"€40,900",Kilkenny,/used-cars/audi/a3/fpa/202210040408716?journey=Search
2022,"€39,950",Dublin,/used-cars/audi/a3/fpa/202210130694621?journey=Search
2022,"€39,950",Dublin,/used-cars/audi/a3/fpa/202209089567715?journey=Search
2022,"€38,999",Dublin,/used-cars/audi/a3/fpa/202207117671222?journey=Search
2022,"€37,999",Dublin,/used-cars/audi/a3/fpa/202207117671217?journey=Search
2022,"€37,999",Galway,/used-cars/audi/a3/fpa/202204204824338?journey=Search
2014,"€14,995",Mayo,/used-cars/volkswagen/tiguan/fpa/202210170820361?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€39,980",Galway,/used-cars/audi/a3/fpa/202209129682025?journey=Search
2022,"€39,952",Galway,/used-cars/audi/a3/fpa/202203093358721?journey=Search
2022,"€39,950",Westmeath,/used-cars/audi/a3/fpa/202210170799892?journey=Search
2022,"€39,900",Kilkenny,/used-cars/audi/a3/fpa/202205215962408?journey=Search
2022,"€39,900",Kilkenny,/used-cars/audi/a3/fpa/202206217007576?journey=Search
2022,"€39,560",Galway,/used-cars/audi/a3/fpa/202209270168976?journey=Search
2022,"€39,532",Westmeath,/used-cars/audi/a3/fpa/202204265061446?journey=Search
2022,"€39,459",Waterford,/used-cars/audi/a3/fpa/202208239065577?journey=Search
2022,"€39,459",Waterford,/used-cars/audi/a3/fpa/202208239065576?journey=Search
2022,"€39,421",Dublin,/used-cars/audi/a3/fpa/202110138433903?journey=Search
2021,"€20,490",Dublin,/used-cars/renault/clio/fpa/202207137734539?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€26,900",Galway,/used-cars/audi/a3/fpa/202209129692633?journey=Search
2019,"€32,950",Dublin,/used-cars/audi/a3/fpa/202208088590799?journey=Search
2019,"€32,950",Dublin,/used-cars/audi/a3/fpa/202210120657292?journey=Search
2019,"€32,900",Dublin,/used-cars/audi/a3/fpa/202209280192100?journey=Search
2019,"€31,950",Galway,/used-cars/audi/a3/fpa/202206176901805?journey=Search
2019,"€31,950",Kildare,/used-cars/audi/a3/fpa/202203304103929?journey=Search
2019,"€31,500",Dublin,/used-cars/audi/a3/fpa/202208309248976?journey=Search
2019,"€31,500",Dublin,/used-cars/audi/a3/fpa/202210060471958?journey=Search
2019,"€31,000",Dublin,/used-cars/audi/a3/fpa/202208269159427?journey=Search
2019,"€30,950",Kildare,/used-cars/audi/a3/fpa/202208239043844?journey=Search
2018,"€13,990",Cork,/used-cars/dacia/sandero-stepway/fpa/202209029359478?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€42,850",Mayo,/used-cars/audi/a3/fpa/202208098607799?journey=Search
2022,"€42,469",Dublin,/used-cars/audi/a3/fpa/202202162634579?journey=Search
2022,"€41,999",Dublin,/used-cars/audi/a3/fpa/202210070508128?journey=Search
2022,"€41,995",Cork,/used-cars/audi/a3/fpa/202209079542764?journey=Search
2022,"€41,858",Dublin,/used-cars/audi/a3/fpa/202207298265743?journey=Search
2022,"€41,568",Mayo,/used-cars/audi/a3/fpa/202206076550622?journey=Search
2022,"€41,500",Cork,/used-cars/audi/a3/fpa/202209089578818?journey=Search
2022,"€41,410",Mayo,/used-cars/audi/a3/fpa/202206026421220?journey=Search
2022,"€41,342",Galway,/used-cars/audi/a3/fpa/202205266183753?journey=Search
2022,"€41,226",Galway,/used-cars/audi/a3/fpa/202205075440201?journey=Search
2019,"€21,500",Cork,/used-cars/ford/fiesta/fpa/202206046473714?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€35,995",Cork,/used-cars/audi/a3/fpa/202209089578808?journey=Search
2022,"€35,940",Dublin,/used-cars/audi/a3/fpa/202209079542902?journey=Search
2022,"€35,750",Dublin,/used-cars/audi/a3/fpa/202209260131860?journey=Search
2022,"€35,500",Dublin,/used-cars/audi/a3/fpa/202209260131877?journey=Search
2022,"€35,000",Dublin,/used-cars/audi/a3/fpa/202209029359656?journey=Search
2022,"€34,999",Dublin,/used-cars/audi/a3/fpa/202210070508134?journey=Search
2022,"€34,500",Cork,/used-cars/audi/a3/fpa/202209089578817?journey=Search
2022,"€34,500",Dublin,/used-cars/audi/a3/fpa/202209260131865?journey=Search
2022,"€34,499",Dublin,/used-cars/audi/a3/fpa/202210070508117?journey=Search
2022,"€34,499",Dublin,/used-cars/audi/a3/fpa/202209029359660?journey=Search
2023,"€29,495",Dublin,/used-cars/hyundai/i30/fpa/202011045796238?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€28,000",Dublin,/used-cars/audi/a3/fpa/202204295173613?journey=Search
2019,"€27,999",Dublin,/used-cars/audi/a3/fpa/202208239053104?journey=Search
2019,"€27,999",Dublin,/used-cars/audi/a3/fpa/202207228047500?journey=Search
2019,"€27,995",Cork,/used-cars/audi/a3/fpa/202203033165796?journey=Search
2019,"€27,950",Cork,/used-cars/audi/a3/fpa/202210130683983?journey=Search
2019,"€27,950",Kildare,/used-cars/audi/a3/fpa/202202283016935?journey=Search
2019,"€27,750",Dublin,/used-cars/audi/a3/fpa/202209099606067?journey=Search
2019,"€26,950",Dublin,/used-cars/audi/a3/fpa/202206026427222?journey=Search
2019,"€26,900",Dublin,/used-cars/audi/a3/fpa/202209260118638?journey=Search
2019,"€26,500",eLouth,/used-cars/audi/a3/fpa/202209189889586?journey=Search
2017,"€24,694",Dublin,/used-cars/audi/a4/fpa/202209290248834?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2018,"€27,900",Galway,/used-cars/audi/a3/fpa/202209099615542?journey=Search
2018,"€26,950",Kildare,/used-cars/audi/a3/fpa/202205035292020?journey=Search
2018,"€26,950",Dublin,/used-cars/audi/a3/fpa/202209220001183?journey=Search
2018,"€26,900",Cork,/used-cars/audi/a3/fpa/202204074414472?journey=Search
2018,"€25,995",Waterford,/used-cars/audi/a3/fpa/202207147783741?journey=Search
2018,"€25,995",Cork,/used-cars/audi/a3/fpa/202204295185395?journey=Search
2018,"€25,950",Kildare,/used-cars/audi/a3/fpa/202207187908253?journey=Search
2018,"€25,950",Dublin,/used-cars/audi/a3/fpa/202112210717965?journey=Search
2018,"€24,995",Cork,/used-cars/audi/a3/fpa/202204094495129?journey=Search
2018,"€24,950",Mayo,/used-cars/audi/a3/fpa/202209260131566?journey=Search
2017,"€38,500",Dublin,/used-cars/audi/a5/fpa/202209139732986?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€31,950",Mayo,/used-cars/audi/a3/fpa/202206227055645?journey=Search
2019,"€31,000",Limerick,/used-cars/audi/a3/fpa/202209199900839?journey=Search
2019,"€30,995",Dublin,/used-cars/audi/a3/fpa/202206186921535?journey=Search
2019,"€29,999",Dublin,/used-cars/audi/a3/fpa/202210030347019?journey=Search
2019,"€29,450",Dublin,/used-cars/audi/a3/fpa/202210130692072?journey=Search
2019,"€29,000",Dublin,/used-cars/audi/a3/fpa/202207228028273?journey=Search
2019,"€28,950",Kerry,/used-cars/audi/a3/fpa/202209280181107?journey=Search
2019,"€28,890",Dublin,/used-cars/audi/a3/fpa/202210120659099?journey=Search
2019,"€27,900",Cork,/used-cars/audi/a3/fpa/202208309268965?journey=Search
2019,"€27,750",Dublin,/used-cars/audi/a3/fpa/202208168847212?journey=Search
2019,"€45,995",Cork,/used-cars/audi/a6/fpa/202209220014137?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2018,"€22,995",Dublin,/used-cars/audi/a3/fpa/202207127695989?journey=Search
2018,"€22,950",Dublin,/used-cars/audi/a3/fpa/202210110631076?journey=Search
2018,"€22,950",Dublin,/used-cars/audi/a3/fpa/202203023102791?journey=Search
2018,"€20,950",Cork,/used-cars/audi/a3/fpa/202206086587447?journey=Search
2018,"€30,950",Dublin,/used-cars/audi/a3/fpa/202207298255077?journey=Search
2018,"€30,950",Dublin,/used-cars/audi/a3/fpa/202210180852310?journey=Search
2018,"€29,950",Dublin,/used-cars/audi/a3/fpa/202204285133449?journey=Search
2018,"€29,950",Dublin,/used-cars/audi/a3/fpa/202206106670868?journey=Search
2018,"€28,995",Meath,/used-cars/audi/a3/fpa/202208058514968?journey=Search
2018,"€28,950",Mayo,/used-cars/audi/a3/fpa/202207197930913?journey=Search
2023,"€69,711",Waterford,/used-cars/audi/a6/fpa/202210140730033?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2021,"€42,999",Dublin,/used-cars/alfa-romeo/stelvio/fpa/202210010304311?journey=Search
2018,"€37,950",Dublin,/used-cars/alfa-romeo/stelvio/fpa/202204275103500?journey=Search
2018,"€38,995",Dublin,/used-cars/alfa-romeo/stelvio/fpa/202203103408997?journey=Search
2006,"€54,950",Dublin,/used-cars/aston-martin/db9/fpa/202107145011632?journey=Search
2009,"€134,995",Dublin,/used-cars/aston-martin/dbs/fpa/202210010313775?journey=Search
2003,"€99,995",Dublin,/used-cars/aston-martin/vanquish/fpa/202206186926687?journey=Search
2018,"€169,995",Dublin,/used-cars/aston-martin/vantage/fpa/202210020322992?journey=Search
2023,"€39,654",Mayo,/used-cars/audi/a1/fpa/202210070507646?journey=Search
2023,"€38,840",Waterford,/used-cars/audi/a1/fpa/202210070507753?journey=Search
2023,"€35,768",Sligo,/used-cars/audi/a1/fpa/202209300263478?journey=Search
2019,"€98,950",Limerick,/used-cars/bmw/x5/fpa/202109077103402?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€37,875",Wexford,/used-cars/audi/a3/fpa/202208269149368?journey=Search
2022,"€37,833",Westmeath,/used-cars/audi/a3/fpa/202209280206837?journey=Search
2022,"€37,750",Limerick,/used-cars/audi/a3/fpa/202210130685066?journey=Search
2022,"€37,275",Wexford,/used-cars/audi/a3/fpa/202208269149359?journey=Search
2022,"€37,250",Dublin,/used-cars/audi/a3/fpa/202207298255126?journey=Search
2022,"€37,250",Dublin,/used-cars/audi/a3/fpa/202207298255127?journey=Search
2022,"€37,250",Dublin,/used-cars/audi/a3/fpa/202207298255128?journey=Search
2022,"€37,245",Sligo,/used-cars/audi/a3/fpa/202208038418102?journey=Search
2022,"€36,950",Dublin,/used-cars/audi/a3/fpa/202207268155256?journey=Search
2022,"€36,750",Dublin,/used-cars/audi/a3/fpa/202209260131855?journey=Search
2023,"€44,645",Dublin,/used-cars/mazda/cx-5/fpa/202209280192086?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€29,000",Dublin,/used-cars/audi/a3/fpa/202207017360710?journey=Search
2019,"€28,995",Dublin,/used-cars/audi/a3/fpa/202204124570324?journey=Search
2019,"€28,995",Cork,/used-cars/audi/a3/fpa/202208028402797?journey=Search
2019,"€28,995",Cork,/used-cars/audi/a3/fpa/202207187907962?journey=Search
2019,"€28,995",Cork,/used-cars/audi/a3/fpa/202208028402798?journey=Search
2019,"€28,950",Westmeath,/used-cars/audi/a3/fpa/202208259123615?journey=Search
2019,"€28,950",Westmeath,/used-cars/audi/a3/fpa/202209079519491?journey=Search
2019,"€28,950",Dublin,/used-cars/audi/a3/fpa/202111069299686?journey=Search
2019,"€28,900",Cork,/used-cars/audi/a3/fpa/202204194799166?journey=Search
2019,"€28,900",Donegal,/used-cars/audi/a3/fpa/202209220008764?journey=Search
2019,"€26,995",Dublin,/used-cars/citroen/grand-c4-spacetourer/fpa/202209260119651?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2022,"€36,999",Dublin,/used-cars/audi/a3/fpa/202204285120062?journey=Search
2022,"€36,475",Wexford,/used-cars/audi/a3/fpa/202209019330451?journey=Search
2022,"€35,475",Wexford,/used-cars/audi/a3/fpa/202209039412656?journey=Search
2022,"€35,000",Dublin,/used-cars/audi/a3/fpa/202203284044928?journey=Search
2022,"€33,950",Waterford,/used-cars/audi/a3/fpa/202210110634087?journey=Search
2021,"€44,995",Cork,/used-cars/audi/a3/fpa/202207258129095?journey=Search
2021,"€40,975",Wexford,/used-cars/audi/a3/fpa/202210050434923?journey=Search
2021,"€39,950",Waterford,/used-cars/audi/a3/fpa/202210050447493?journey=Search
2021,"€39,900",Kilkenny,/used-cars/audi/a3/fpa/202210040392298?journey=Search
2021,"€39,000",Limerick,/used-cars/audi/a3/fpa/202209199900840?journey=Search
2019,"€35,400",Dublin,/used-cars/bmw/x1/fpa/202206136734042?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2018,"€24,950",Kildare,/used-cars/audi/a3/fpa/202110299036727?journey=Search
2018,"€24,950",Kildare,/used-cars/audi/a3/fpa/202204114530292?journey=Search
2018,"€24,950",Dublin,/used-cars/audi/a3/fpa/202203043204546?journey=Search
2018,"€24,950",Kildare,/used-cars/audi/a3/fpa/202203143540346?journey=Search
2018,"€24,950",Kildare,/used-cars/audi/a3/fpa/202201181500276?journey=Search
2018,"€24,890",Dublin,/used-cars/audi/a3/fpa/202204014197501?journey=Search
2018,"€23,950",Sligo,/used-cars/audi/a3/fpa/202207057485935?journey=Search
2018,"€23,950",Meath,/used-cars/audi/a3/fpa/202207117660274?journey=Search
2018,"€23,950",Kildare,/used-cars/audi/a3/fpa/202110048100918?journey=Search
2018,"€23,950",Dublin,/used-cars/audi/a3/fpa/202207117671563?journey=Search
2021,"€127,000",Dublin,/used-cars/audi/e-tron/fpa/202208279197767?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2019,"€26,490",Dublin,/used-cars/audi/a3/fpa/202208038429003?journey=Search
2019,"€25,450",Westmeath,/used-cars/audi/a3/fpa/202208178873401?journey=Search
2019,"€24,950",Galway,/used-cars/audi/a3/fpa/202207047440924?journey=Search
2019,"€21,995",Dublin,/used-cars/audi/a3/fpa/202209019334069?journey=Search
2018,"€29,500",Dublin,/used-cars/audi/a3/fpa/202210110612484?journey=Search
2018,"€28,950",Mayo,/used-cars/audi/a3/fpa/202208058503015?journey=Search
2018,"€27,900",Limerick,/used-cars/audi/a3/fpa/202208108664806?journey=Search
2018,"€26,950",Mayo,/used-cars/audi/a3/fpa/202210040408553?journey=Search
2018,"€26,900",Cork,/used-cars/audi/a3/fpa/202210030368274?journey=Search
2018,"€25,995",Cork,/used-cars/audi/a3/fpa/202207217992282?journey=Search
2018,"€12,849",Laois,/used-cars/dacia/sandero-stepway/fpa/202208239065605?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2018,"€25,950",Galway,/used-cars/audi/a3/fpa/202209300274679?journey=Search
2018,"€25,900",Dublin,/used-cars/audi/a3/fpa/202209109645632?journey=Search
2018,"€25,450",Mayo,/used-cars/audi/a3/fpa/202208299224155?journey=Search
2018,"€24,999",Galway,/used-cars/audi/a3/fpa/202204084450920?journey=Search
2018,"€24,999",Dublin,/used-cars/audi/a3/fpa/202209209926475?journey=Search
2018,"€24,950",Kildare,/used-cars/audi/a3/fpa/202210030373614?journey=Search
2018,"€24,950",Westmeath,/used-cars/audi/a3/fpa/202209079519488?journey=Search
2018,"€24,950",Dublin,/used-cars/audi/a3/fpa/202206026419595?journey=Search
2018,"€24,950",Dublin,/used-cars/audi/a3/fpa/202203053220053?journey=Search
2018,"€24,450",Dublin,/used-cars/audi/a3/fpa/202208118699363?journey=Search
2020,"€20,950",Cork,/used-cars/renault/captur/fpa/202208239044026?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2021,"€38,950",Sligo,/used-cars/audi/a3/fpa/202209280194772?journey=Search
2021,"€36,500",Galway,/used-cars/audi/a3/fpa/202205175809472?journey=Search
2021,"€35,850",Dublin,/used-cars/audi/a3/fpa/202208098607148?journey=Search
2021,"€34,900",Kilkenny,/used-cars/audi/a3/fpa/202210040392300?journey=Search
2021,"€42,995",Dublin,/used-cars/audi/a3/fpa/202203294087604?journey=Search
2021,"€40,000",Dublin,/used-cars/audi/a3/fpa/202209280194790?journey=Search
2021,"€38,995",Cork,/used-cars/audi/a3/fpa/202209230051466?journey=Search
2021,"€38,950",Dublin,/used-cars/audi/a3/fpa/202207238060826?journey=Search
2021,"€36,475",Wexford,/used-cars/audi/a3/fpa/202207197941314?journey=Search
2021,"€34,995",Dublin,/used-cars/audi/a3/fpa/202209089557524?journey=Search
2016,"€19,945",Mayo,/used-cars/volkswagen/tiguan/fpa/202208108664748?SOURCE_ID=SOURCE_ID_FPA_FROM_FEAT_LIST&journey=FeaturedListing
2016,"€18,995",Dublin,/used-cars/abarth/500/fpa/202208279188667?journey=Search
2018,"€22,950",Dublin,/used-cars/abarth/595/fpa/202209099592611?journey=Search
2017,"€18,994",Dublin,/used-cars/abarth/595/fpa/202210050447714?journey=Search
1991,"€13,995",Dublin,/used-cars/alfa-romeo/33/fpa/202207057489010?journey=Search
2014,"€79,950",Dublin,/used-cars/alfa-romeo/4c/fpa/202209280188538?journey=Search
2023,"€75,950",Cork,/used-cars/alfa-romeo/giulia/fpa/202210100598365?journey=Search
2022,"€68,750",Cork,/used-cars/alfa-romeo/giulia/fpa/202206076550711?journey=Search
2022,"€68,750",Cork,/used-cars/alfa-romeo/giulia/fpa/202108136211640?journey=Search
2022,"€68,750",Cork,/used-cars/alfa-romeo/giulia/fpa/202108126143797?journey=Search
2022,"€66,999",Dublin,/used-cars/alfa-romeo/giulia/fpa/202007101089602?journey=Search
